country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","04-05-2025 21:00:00",25.251013,86.989001,NH3,1,2,1
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","04-05-2025 21:00:00",25.265194,87.012947,PM2.5,NA,NA,NA
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","04-05-2025 21:00:00",25.265194,87.012947,OZONE,2,23,11
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","04-05-2025 21:00:00",25.204762,85.514960,PM10,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","04-05-2025 21:00:00",25.567520,83.966379,PM2.5,13,153,73
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","04-05-2025 21:00:00",25.567520,83.966379,SO2,6,15,11
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","04-05-2025 21:00:00",25.567520,83.966379,CO,25,30,27
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","04-05-2025 21:00:00",25.7808257,84.7446768,NH3,5,6,5
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","04-05-2025 21:00:00",25.7808257,84.7446768,SO2,5,101,14
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","04-05-2025 21:00:00",26.1403345,85.3650192,SO2,4,8,6
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","04-05-2025 21:00:00",26.1209,85.3647,OZONE,5,22,16
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","04-05-2025 21:00:00",25.586562,85.043586,NH3,2,3,3
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","04-05-2025 21:00:00",25.586562,85.043586,CO,26,62,40
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","04-05-2025 21:00:00",25.592539,85.227158,PM2.5,64,177,97
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","04-05-2025 21:00:00",25.592539,85.227158,SO2,3,8,6
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","04-05-2025 21:00:00",25.610369,85.132568,CO,60,72,65
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","04-05-2025 21:00:00",26.0881305,87.93840336,SO2,NA,NA,NA
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","04-05-2025 21:00:00",27.308328,84.531742,SO2,4,7,6
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","04-05-2025 21:00:00",27.308328,84.531742,OZONE,5,35,24
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","04-05-2025 21:00:00",26.63086,84.90051,OZONE,10,12,11
India,Bihar,Munger,"Town Hall, Munger - BSPCB","04-05-2025 21:00:00",25.376776,86.471523,PM10,12,118,59
India,Bihar,Munger,"Town Hall, Munger - BSPCB","04-05-2025 21:00:00",25.376776,86.471523,SO2,12,21,17
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","04-05-2025 21:00:00",26.11442,85.39813,PM10,54,86,69
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","04-05-2025 21:00:00",26.349082,92.68449,NO2,1,4,2
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","04-05-2025 21:00:00",26.349082,92.68449,OZONE,19,24,22
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","04-05-2025 21:00:00",26.446912,91.439057,OZONE,9,16,15
India,Assam,Silchar,"Tarapur, Silchar - PCBA","04-05-2025 21:00:00",24.82827,92.79525,SO2,2,4,4
India,Assam,Silchar,"Tarapur, Silchar - PCBA","04-05-2025 21:00:00",24.82827,92.79525,OZONE,1,16,8
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","04-05-2025 21:00:00",26.987634,94.636574,PM10,16,50,27
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","04-05-2025 21:00:00",26.987634,94.636574,NH3,1,2,1
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","04-05-2025 21:00:00",25.5626095,84.663264,SO2,8,10,9
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","04-05-2025 21:00:00",25.5626095,84.663264,OZONE,5,22,12
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","04-05-2025 21:00:00",24.75746,84.366208,OZONE,20,85,53
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","04-05-2025 21:00:00",25.42742023,86.13886079,NH3,11,12,11
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","04-05-2025 21:00:00",26.80365,84.51954,SO2,9,19,13
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","04-05-2025 21:00:00",26.80365,84.51954,CO,30,96,72
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","04-05-2025 21:00:00",26.071318,91.87488,NO2,3,31,15
India,Assam,Guwahati,"IITG, Guwahati - PCBA","04-05-2025 21:00:00",26.2028636,91.70046436,CO,8,22,12
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","04-05-2025 21:00:00",26.10887,91.589544,NH3,16,19,16
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","04-05-2025 21:00:00",26.10887,91.589544,CO,15,117,95
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","04-05-2025 21:00:00",26.187500,91.744194,PM2.5,1,98,62
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","04-05-2025 21:00:00",26.187500,91.744194,OZONE,17,18,17
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","04-05-2025 21:00:00",24.7955,84.9994,CO,10,80,41
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","04-05-2025 21:00:00",24.792403,84.992416,NO2,3,7,5
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","04-05-2025 21:00:00",24.792403,84.992416,CO,18,74,45
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","04-05-2025 21:00:00",25.697189,85.245900,PM2.5,74,127,90
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","04-05-2025 21:00:00",25.560083,87.553265,PM10,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","04-05-2025 21:00:00",25.560083,87.553265,OZONE,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","04-05-2025 21:00:00",16.509717,80.612222,PM2.5,60,73,67
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","04-05-2025 21:00:00",16.509717,80.612222,CO,32,34,32
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","04-05-2025 21:00:00",16.554731,80.649110,NO2,15,30,21
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","04-05-2025 21:00:00",17.72,83.3,PM2.5,37,81,56
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","04-05-2025 21:00:00",17.72,83.3,NO2,13,141,66
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","04-05-2025 21:00:00",17.72,83.3,OZONE,14,68,44
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-05-2025 21:00:00",16.5150833,80.5181667,NO2,30,46,34
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-05-2025 21:00:00",16.5150833,80.5181667,NH3,2,3,2
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","04-05-2025 21:00:00",14.675886,77.593027,OZONE,9,41,40
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","04-05-2025 21:00:00",13.204880,79.097889,PM2.5,46,205,108
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","04-05-2025 21:00:00",13.204880,79.097889,NO2,17,27,24
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","04-05-2025 21:00:00",14.465052,78.824187,NH3,5,6,6
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","04-05-2025 21:00:00",14.465052,78.824187,CO,32,34,32
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-05-2025 21:00:00",16.9872867,81.7363176,NO2,13,53,27
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","04-05-2025 21:00:00",13.615387,79.409230,PM2.5,44,143,81
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","04-05-2025 21:00:00",30.751462,76.762879,PM10,47,125,80
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","04-05-2025 21:00:00",30.719859,76.738637,NO2,33,81,50
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","04-05-2025 21:00:00",30.719859,76.738637,OZONE,4,30,23
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","04-05-2025 21:00:00",21.194815,81.314770,PM10,14,37,27
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","04-05-2025 21:00:00",21.194815,81.314770,NO2,8,34,17
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","04-05-2025 21:00:00",21.194815,81.314770,CO,10,42,20
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","04-05-2025 21:00:00",22.08815,82.13737,PM2.5,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","04-05-2025 21:00:00",22.118125,83.140608,SO2,NA,NA,NA
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","04-05-2025 21:00:00",22.368195,82.746431,CO,24,42,35
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","04-05-2025 21:00:00",22.348441,82.549611,PM10,33,69,43
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","04-05-2025 21:00:00",22.348441,82.549611,NO2,72,82,77
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","04-05-2025 21:00:00",22.348441,82.549611,SO2,5,8,6
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","04-05-2025 21:00:00",22.126650,83.483212,CO,22,36,27
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","04-05-2025 21:00:00",21.371751,81.664929,NO2,31,38,34
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","04-05-2025 21:00:00",21.371751,81.664929,SO2,1,49,10
India,Delhi,Delhi,"Alipur, Delhi - DPCC","04-05-2025 21:00:00",28.815329,77.153010,PM2.5,78,355,228
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","04-05-2025 21:00:00",28.60909,77.0325413,NH3,11,13,12
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","04-05-2025 21:00:00",28.570173,76.933762,PM2.5,38,367,179
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","04-05-2025 21:00:00",28.570173,76.933762,PM10,56,322,176
India,Delhi,Delhi,"Narela, Delhi - DPCC","04-05-2025 21:00:00",28.822836,77.101981,NH3,6,12,9
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","04-05-2025 21:00:00",28.567890,77.250515,PM2.5,60,365,195
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","04-05-2025 21:00:00",28.6573814,77.1585447,PM10,82,308,191
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","04-05-2025 21:00:00",28.6573814,77.1585447,NO2,15,45,29
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","04-05-2025 21:00:00",28.580280,77.233829,CO,108,122,110
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","04-05-2025 21:00:00",28.611281,77.237738,PM2.5,60,375,217
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","04-05-2025 21:00:00",28.611281,77.237738,OZONE,1,133,89
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","04-05-2025 21:00:00",28.636429,77.201067,PM2.5,80,355,231
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","04-05-2025 21:00:00",28.636429,77.201067,OZONE,4,221,146
India,Delhi,Delhi,"Mundka, Delhi - DPCC","04-05-2025 21:00:00",28.684678,77.076574,NH3,10,14,12
India,Delhi,Delhi,"Mundka, Delhi - DPCC","04-05-2025 21:00:00",28.684678,77.076574,CO,18,68,26
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","04-05-2025 21:00:00",25.892357,86.590325,SO2,NA,NA,NA
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","04-05-2025 21:00:00",25.859655,85.77944,NO2,1,2,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","04-05-2025 21:00:00",24.952822,84.002396,PM2.5,50,160,84
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","04-05-2025 21:00:00",30.735567,76.775714,NH3,20,46,30
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","04-05-2025 21:00:00",30.735567,76.775714,CO,40,101,50
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","04-05-2025 21:00:00",28.6811736,77.3025234,NH3,8,11,10
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","04-05-2025 21:00:00",28.6811736,77.3025234,SO2,8,16,12
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","04-05-2025 21:00:00",28.6811736,77.3025234,CO,10,102,66
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","04-05-2025 21:00:00",28.6811736,77.3025234,OZONE,6,23,20
India,Delhi,Delhi,"ITO, Delhi - CPCB","04-05-2025 21:00:00",28.628624,77.241060,PM10,NA,NA,NA
India,Delhi,Delhi,"ITO, Delhi - CPCB","04-05-2025 21:00:00",28.628624,77.241060,OZONE,NA,NA,NA
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","04-05-2025 21:00:00",28.580280,77.233829,NO2,54,117,90
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","04-05-2025 21:00:00",28.7256504,77.2011573,OZONE,9,59,45
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","04-05-2025 21:00:00",28.656756,77.227234,SO2,6,16,10
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","04-05-2025 21:00:00",28.498571,77.264840,NH3,9,12,10
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","04-05-2025 21:00:00",28.498571,77.264840,SO2,10,35,18
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","04-05-2025 21:00:00",28.5710274,77.0719006,SO2,15,33,25
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","04-05-2025 21:00:00",28.647622,77.3158090,PM2.5,42,387,209
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","04-05-2025 21:00:00",28.647622,77.3158090,NO2,53,123,86
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","04-05-2025 21:00:00",28.647622,77.3158090,SO2,16,26,22
India,Delhi,Delhi,"Bawana, Delhi - DPCC","04-05-2025 21:00:00",28.776200,77.051074,NO2,15,58,36
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","04-05-2025 21:00:00",28.7256504,77.2011573,PM10,91,230,162
India,Bihar,Patna,"Muradpur, Patna - BSPCB","04-05-2025 21:00:00",25.619651,85.147382,NO2,19,178,51
India,Bihar,Patna,"Muradpur, Patna - BSPCB","04-05-2025 21:00:00",25.619651,85.147382,SO2,4,9,8
