Sl. No.,State/UT-wise,City,Number of days with AQI more than 400
1,Andhra Pradesh,Vijayawada,2
2,Assam,Byrnihat-Assam,10
3,Bihar,Aurangabad,1
4,Bihar,Begusarai,30
5,Bihar,Bettiah,8
6,Bihar,Bhagalpur,6
7,Bihar,Chhapra,7
8,Bihar,Darbhanga,4
9,Bihar,Katihar,11
10,Bihar,Munger,1
11,Bihar,Muzaffarpur,1
12,Bihar,Patna,2
13,Bihar,Purnia,13
14,Bihar,Rajgir,3
15,Bihar,Saharsa,7
16,Bihar,Samastipur,6
17,Bihar,Siwan,8
18,Delhi,Delhi,15
19,Haryana,Bahadurgarh,4
20,Haryana,Dharuhera,2
21,Haryana,Faridabad,11
22,Haryana,Fatehabad,9
23,Haryana,Gurugram,3
24,Haryana,Hisar,7
25,Haryana,Jind,7
26,Haryana,Kaithal,3
27,Haryana,Narnaul,2
28,Haryana,Rohtak,2
29,Haryana,Sirsa,1
30,Haryana,Sonipat,4
31,Himachal Pradesh,Baddi,1
32,Karnataka,Gadag,2
33,Madhya Pradesh,Ujjain,2
34,Maharashtra,Navi Mumbai,1
35,Meghalaya,Shillong,1
36,Rajasthan,Bhiwadi,5
37,Rajasthan,Churu,4
38,Rajasthan,Dholpur,5
39,Rajasthan,Hanumangarh,16
40,Rajasthan,Jhunjhunu,1
41,Rajasthan,Sikar,1
42,Rajasthan,Sri Ganganagar,6
43,Uttar Pradesh,Ghaziabad,3
44,Uttar Pradesh,Greater Noida,13
45,Uttar Pradesh,Meerut,1
46,Uttar Pradesh,Noida,5
