country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","29-03-2025 16:00:00",16.509717,80.612222,PM10,67,99,80
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","29-03-2025 16:00:00",16.509717,80.612222,NO2,45,68,56
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","29-03-2025 16:00:00",16.509717,80.612222,NH3,2,5,3
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","29-03-2025 16:00:00",17.72,83.3,PM2.5,48,106,74
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","29-03-2025 16:00:00",17.72,83.3,NO2,40,70,55
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","29-03-2025 16:00:00",17.72,83.3,CO,12,88,32
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","29-03-2025 16:00:00",27.103358,93.679645,PM2.5,60,179,97
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","29-03-2025 16:00:00",26.071318,91.87488,PM10,63,289,134
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","29-03-2025 16:00:00",13.67,79.35,NH3,1,2,1
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","29-03-2025 16:00:00",13.67,79.35,SO2,6,30,15
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","29-03-2025 16:00:00",13.67,79.35,CO,21,22,22
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","29-03-2025 16:00:00",13.615387,79.409230,PM10,63,131,101
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","29-03-2025 16:00:00",16.536107,80.594233,OZONE,18,46,31
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","29-03-2025 16:00:00",16.486692,80.699436,NH3,4,6,5
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","29-03-2025 16:00:00",11.654054,92.734055,PM10,46,106,70
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","29-03-2025 16:00:00",16.5150833,80.5181667,NO2,7,19,12
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","29-03-2025 16:00:00",16.5150833,80.5181667,NH3,4,5,4
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","29-03-2025 16:00:00",14.675886,77.593027,PM10,38,79,69
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","29-03-2025 16:00:00",14.675886,77.593027,NO2,27,68,42
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","29-03-2025 16:00:00",26.446912,91.439057,OZONE,5,19,13
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","29-03-2025 16:00:00",26.987634,94.636574,NO2,50,69,61
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","29-03-2025 16:00:00",26.987634,94.636574,SO2,6,10,8
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","29-03-2025 16:00:00",26.987634,94.636574,CO,15,39,23
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","29-03-2025 16:00:00",26.146529,87.454184,PM10,85,149,118
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","29-03-2025 16:00:00",13.204880,79.097889,PM10,67,131,94
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","29-03-2025 16:00:00",13.204880,79.097889,SO2,2,3,2
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","29-03-2025 16:00:00",14.465052,78.824187,NH3,5,6,5
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","29-03-2025 16:00:00",16.9872867,81.7363176,NO2,6,36,20
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","29-03-2025 16:00:00",25.42742023,86.13886079,NO2,43,98,70
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","29-03-2025 16:00:00",25.42742023,86.13886079,NH3,10,15,12
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","29-03-2025 16:00:00",25.42742023,86.13886079,SO2,4,88,42
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","29-03-2025 16:00:00",25.42742023,86.13886079,CO,47,74,63
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","29-03-2025 16:00:00",25.265194,87.012947,NH3,8,8,8
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","29-03-2025 16:00:00",26.071318,91.87488,SO2,29,32,30
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","29-03-2025 16:00:00",26.071318,91.87488,OZONE,22,67,39
India,Assam,Guwahati,"IITG, Guwahati - PCBA","29-03-2025 16:00:00",26.2028636,91.70046436,SO2,19,23,21
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","29-03-2025 16:00:00",26.10887,91.589544,NO2,14,23,20
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","29-03-2025 16:00:00",26.10887,91.589544,SO2,8,15,11
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","29-03-2025 16:00:00",26.10887,91.589544,CO,16,53,44
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","29-03-2025 16:00:00",26.187500,91.744194,PM10,56,112,85
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","29-03-2025 16:00:00",26.181742,91.78063,SO2,18,19,19
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","29-03-2025 16:00:00",25.5626095,84.663264,OZONE,28,118,89
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","29-03-2025 16:00:00",24.75746,84.366208,PM2.5,38,324,194
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","29-03-2025 16:00:00",24.75746,84.366208,PM10,55,312,176
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","29-03-2025 16:00:00",16.486692,80.699436,SO2,3,6,5
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","29-03-2025 16:00:00",25.599486,85.113666,PM10,96,153,114
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","29-03-2025 16:00:00",25.599486,85.113666,NH3,4,10,8
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","29-03-2025 16:00:00",25.599486,85.113666,SO2,11,22,16
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","29-03-2025 16:00:00",25.599486,85.113666,OZONE,3,109,85
India,Bihar,Patna,"Samanpura, Patna - BSPCB","29-03-2025 16:00:00",25.596727,85.085624,NO2,39,50,44
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","29-03-2025 16:00:00",25.366336,87.117468,PM2.5,40,340,187
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","29-03-2025 16:00:00",25.366336,87.117468,NO2,12,345,46
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","29-03-2025 16:00:00",25.366336,87.117468,SO2,4,19,14
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","29-03-2025 16:00:00",26.63086,84.90051,NH3,3,3,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","29-03-2025 16:00:00",26.63086,84.90051,OZONE,11,15,14
India,Bihar,Munger,"Town Hall, Munger - BSPCB","29-03-2025 16:00:00",25.376776,86.471523,CO,15,34,16
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","29-03-2025 16:00:00",26.11442,85.39813,PM2.5,79,231,127
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","29-03-2025 16:00:00",26.11442,85.39813,SO2,4,12,8
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","29-03-2025 16:00:00",26.1403345,85.3650192,PM2.5,3,65,31
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","29-03-2025 16:00:00",25.610369,85.132568,PM2.5,34,250,80
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","29-03-2025 16:00:00",25.610369,85.132568,CO,28,37,32
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","29-03-2025 16:00:00",25.610369,85.132568,OZONE,41,44,42
India,Bihar,Patna,"Muradpur, Patna - BSPCB","29-03-2025 16:00:00",25.619651,85.147382,PM2.5,61,129,84
India,Bihar,Patna,"Muradpur, Patna - BSPCB","29-03-2025 16:00:00",25.619651,85.147382,NO2,8,38,15
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","29-03-2025 16:00:00",25.03280,85.41948,NO2,8,10,9
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","29-03-2025 16:00:00",25.03280,85.41948,NH3,2,3,2
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","29-03-2025 16:00:00",25.892357,86.590325,PM2.5,18,302,78
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","29-03-2025 16:00:00",25.892357,86.590325,SO2,6,16,13
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","29-03-2025 16:00:00",25.204762,85.514960,CO,10,12,12
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","29-03-2025 16:00:00",25.204762,85.514960,OZONE,15,40,30
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","29-03-2025 16:00:00",25.7808257,84.7446768,PM2.5,52,190,96
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","29-03-2025 16:00:00",25.560083,87.553265,NH3,1,1,1
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","29-03-2025 16:00:00",25.560083,87.553265,OZONE,18,58,43
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","29-03-2025 16:00:00",27.308328,84.531742,PM10,74,189,136
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","29-03-2025 16:00:00",26.1403345,85.3650192,PM10,NA,NA,NA
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","29-03-2025 16:00:00",25.586562,85.043586,CO,23,92,36
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","29-03-2025 16:00:00",25.697189,85.245900,NH3,5,8,6
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","29-03-2025 16:00:00",25.697189,85.245900,CO,22,35,30
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","29-03-2025 16:00:00",25.7808257,84.7446768,NO2,4,35,16
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","29-03-2025 16:00:00",21.185571,81.343175,PM2.5,22,75,39
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","29-03-2025 16:00:00",21.185571,81.343175,CO,20,84,34
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","29-03-2025 16:00:00",21.224231,81.408350,PM2.5,42,176,81
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","29-03-2025 16:00:00",21.224231,81.408350,NO2,17,98,42
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","29-03-2025 16:00:00",21.224231,81.408350,SO2,17,77,42
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","29-03-2025 16:00:00",22.08815,82.13737,PM2.5,48,129,74
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","29-03-2025 16:00:00",22.08815,82.13737,SO2,16,30,20
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","29-03-2025 16:00:00",22.368195,82.746431,PM2.5,NA,NA,NA
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","29-03-2025 16:00:00",22.368195,82.746431,PM10,NA,NA,NA
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","29-03-2025 16:00:00",28.647622,77.3158090,PM2.5,2,220,88
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","29-03-2025 16:00:00",28.647622,77.3158090,PM10,48,340,185
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","29-03-2025 16:00:00",28.647622,77.3158090,NH3,1,9,5
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","29-03-2025 16:00:00",28.695381,77.181665,CO,54,64,59
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","29-03-2025 16:00:00",28.4706914,77.1099364,CO,25,104,91
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","29-03-2025 16:00:00",28.498571,77.264840,PM2.5,30,197,63
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","29-03-2025 16:00:00",28.498571,77.264840,PM10,91,251,151
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","29-03-2025 16:00:00",28.498571,77.264840,CO,4,48,42
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","29-03-2025 16:00:00",28.5710274,77.0719006,PM2.5,37,303,90
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","29-03-2025 16:00:00",28.5710274,77.0719006,NH3,8,13,10
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","29-03-2025 16:00:00",22.368195,82.746431,SO2,NA,NA,NA
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","29-03-2025 16:00:00",22.126650,83.483212,PM10,70,477,247
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","29-03-2025 16:00:00",22.126650,83.483212,CO,27,62,43
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","29-03-2025 16:00:00",22.1910172,83.5197009,PM10,83,158,132
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","29-03-2025 16:00:00",21.258815,81.578979,PM10,58,184,109
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","29-03-2025 16:00:00",21.258815,81.578979,CO,22,60,40
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","29-03-2025 16:00:00",21.237755,81.705301,PM10,59,134,93
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","29-03-2025 16:00:00",21.237755,81.705301,NH3,7,7,7
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","29-03-2025 16:00:00",21.371751,81.664929,NH3,3,3,3
India,Delhi,Delhi,"ITO, Delhi - CPCB","29-03-2025 16:00:00",28.628624,77.241060,CO,11,26,21
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","29-03-2025 16:00:00",28.732820,77.170633,PM2.5,48,340,128
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","29-03-2025 16:00:00",28.732820,77.170633,NH3,9,11,10
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","29-03-2025 16:00:00",28.732820,77.170633,OZONE,42,133,93
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","29-03-2025 16:00:00",28.588333,77.221667,PM10,90,176,133
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","29-03-2025 16:00:00",25.859655,85.77944,NH3,2,2,2
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","29-03-2025 16:00:00",26.2271665,84.3570427,PM2.5,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","29-03-2025 16:00:00",30.735567,76.775714,CO,38,72,55
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","29-03-2025 16:00:00",28.5627763,77.1180053,PM10,100,181,129
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","29-03-2025 16:00:00",28.6811736,77.3025234,PM10,79,149,116
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","29-03-2025 16:00:00",28.6811736,77.3025234,SO2,3,5,4
India,Delhi,Delhi,"ITO, Delhi - CPCB","29-03-2025 16:00:00",28.628624,77.241060,PM10,77,152,108
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","29-03-2025 16:00:00",28.656756,77.227234,CO,78,136,133
India,Delhi,Delhi,"Rohini, Delhi - DPCC","29-03-2025 16:00:00",28.732528,77.119920,SO2,5,30,15
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","29-03-2025 16:00:00",28.6514781,77.1473105,PM2.5,42,225,108
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","29-03-2025 16:00:00",28.6514781,77.1473105,PM10,73,178,116
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","29-03-2025 16:00:00",28.6514781,77.1473105,SO2,3,34,22
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","29-03-2025 16:00:00",28.6514781,77.1473105,OZONE,14,58,26
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","29-03-2025 16:00:00",28.5504249,77.2159377,SO2,76,78,76
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","29-03-2025 16:00:00",28.6573814,77.1585447,OZONE,63,136,92
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","29-03-2025 16:00:00",28.530785,77.271255,SO2,8,26,15
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","29-03-2025 16:00:00",28.530785,77.271255,CO,46,74,67
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","29-03-2025 16:00:00",28.674045,77.131023,NH3,5,6,5
India,Delhi,Delhi,"Pusa, Delhi - IMD","29-03-2025 16:00:00",28.636110,77.173332,PM10,67,150,111
India,Delhi,Delhi,"Pusa, Delhi - IMD","29-03-2025 16:00:00",28.636110,77.173332,CO,15,25,21
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","29-03-2025 16:00:00",28.563262,77.186937,PM2.5,28,336,87
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","29-03-2025 16:00:00",28.563262,77.186937,NO2,11,34,17
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","29-03-2025 16:00:00",28.563262,77.186937,NH3,2,3,3
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","29-03-2025 16:00:00",28.531346,77.190156,CO,31,48,39
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","29-03-2025 16:00:00",28.672342,77.315260,PM10,89,246,156
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","29-03-2025 16:00:00",28.672342,77.315260,NO2,24,34,29
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","29-03-2025 16:00:00",28.611281,77.237738,PM10,59,222,125
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","29-03-2025 16:00:00",28.636429,77.201067,SO2,NA,NA,NA
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","29-03-2025 16:00:00",28.60909,77.0325413,NH3,8,9,8
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","29-03-2025 16:00:00",28.60909,77.0325413,OZONE,21,47,36
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","29-03-2025 16:00:00",28.5918245,77.2273074,PM2.5,14,71,41
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","29-03-2025 16:00:00",28.5918245,77.2273074,PM10,74,179,127
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","29-03-2025 16:00:00",28.6573814,77.1585447,NO2,17,39,25
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","29-03-2025 16:00:00",28.60909,77.0325413,PM10,96,222,144
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","29-03-2025 16:00:00",23.243639,72.68994,SO2,4,8,6
